Add:         0210083 Bypass Coronary Artery, One Artery from Coronary Artery with Zooplastic Tissue, Open Approach
Revise from: 02730T6 Dilation of Coronary Artery, Four or More Sites, Bifurcation, with Radioactive Intraluminal Device, Open Approach
Revise to:   02730T6 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Radioactive Intraluminal Device, Open Approach
Revise from: 02730TZ Dilation of Coronary Artery, Four or More Sites with Radioactive Intraluminal Device, Open Approach
Revise to:   02730TZ Dilation of Coronary Artery, Four or More Arteries with Radioactive Intraluminal Device, Open Approach
Revise from: 02730Z6 Dilation of Coronary Artery, Four or More Sites, Bifurcation, Open Approach
Revise to:   02730Z6 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, Open Approach
Revise from: 02730ZZ Dilation of Coronary Artery, Four or More Sites, Open Approach
Revise to:   02730ZZ Dilation of Coronary Artery, Four or More Arteries, Open Approach
Revise from: 0273346 Dilation of Coronary Artery, Four or More Sites, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise to:   0273346 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise from: 027334Z Dilation of Coronary Artery, Four or More Sites with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise to:   027334Z Dilation of Coronary Artery, Four or More Arteries with Drug-eluting Intraluminal Device, Percutaneous Approach
Add:         0273356 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         027335Z Dilation of Coronary Artery, Four or More Arteries with Two Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         0273366 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         027336Z Dilation of Coronary Artery, Four or More Arteries with Three Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         0273376 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Add:         027337Z Dilation of Coronary Artery, Four or More Arteries with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach
Revise from: 02733D6 Dilation of Coronary Artery, Four or More Sites, Bifurcation, with Intraluminal Device, Percutaneous Approach
Revise to:   02733D6 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Intraluminal Device, Percutaneous Approach
Revise from: 02733DZ Dilation of Coronary Artery, Four or More Sites with Intraluminal Device, Percutaneous Approach
Revise to:   02733DZ Dilation of Coronary Artery, Four or More Arteries with Intraluminal Device, Percutaneous Approach
Add:         02733E6 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach
Add:         02733EZ Dilation of Coronary Artery, Four or More Arteries with Two Intraluminal Devices, Percutaneous Approach
Add:         02733F6 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach
Add:         02733FZ Dilation of Coronary Artery, Four or More Arteries with Three Intraluminal Devices, Percutaneous Approach
Add:         02733G6 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach
Add:         02733GZ Dilation of Coronary Artery, Four or More Arteries with Four or More Intraluminal Devices, Percutaneous Approach
Revise from: 02733T6 Dilation of Coronary Artery, Four or More Sites, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Approach
Revise to:   02733T6 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Approach
Revise from: 02733TZ Dilation of Coronary Artery, Four or More Sites with Radioactive Intraluminal Device, Percutaneous Approach
Revise to:   02733TZ Dilation of Coronary Artery, Four or More Arteries with Radioactive Intraluminal Device, Percutaneous Approach
Revise from: 02733Z6 Dilation of Coronary Artery, Four or More Sites, Bifurcation, Percutaneous Approach
Revise to:   02733Z6 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, Percutaneous Approach
Revise from: 02733ZZ Dilation of Coronary Artery, Four or More Sites, Percutaneous Approach
Revise to:   02733ZZ Dilation of Coronary Artery, Four or More Arteries, Percutaneous Approach
Revise from: 0273446 Dilation of Coronary Artery, Four or More Sites, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   0273446 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 027344Z Dilation of Coronary Artery, Four or More Sites with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   027344Z Dilation of Coronary Artery, Four or More Arteries with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Add:         0273456 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         027345Z Dilation of Coronary Artery, Four or More Arteries with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         0273466 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         027346Z Dilation of Coronary Artery, Four or More Arteries with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         0273476 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         027347Z Dilation of Coronary Artery, Four or More Arteries with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach
Revise from: 02734D6 Dilation of Coronary Artery, Four or More Sites, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   02734D6 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 02734DZ Dilation of Coronary Artery, Four or More Sites with Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   02734DZ Dilation of Coronary Artery, Four or More Arteries with Intraluminal Device, Percutaneous Endoscopic Approach
Add:         02734E6 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         02734EZ Dilation of Coronary Artery, Four or More Arteries with Two Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         02734F6 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         02734FZ Dilation of Coronary Artery, Four or More Arteries with Three Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         02734G6 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Add:         02734GZ Dilation of Coronary Artery, Four or More Arteries with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach
Revise from: 02734T6 Dilation of Coronary Artery, Four or More Sites, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   02734T6 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 02734TZ Dilation of Coronary Artery, Four or More Sites with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   02734TZ Dilation of Coronary Artery, Four or More Arteries with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 02734Z6 Dilation of Coronary Artery, Four or More Sites, Bifurcation, Percutaneous Endoscopic Approach
Revise to:   02734Z6 Dilation of Coronary Artery, Four or More Arteries, Bifurcation, Percutaneous Endoscopic Approach
Revise from: 02734ZZ Dilation of Coronary Artery, Four or More Sites, Percutaneous Endoscopic Approach
Revise to:   02734ZZ Dilation of Coronary Artery, Four or More Arteries, Percutaneous Endoscopic Approach
Revise from: 027W04Z Dilation of Thoracic Aorta with Drug-eluting Intraluminal Device, Open Approach
Revise to:   027W04Z Dilation of Thoracic Aorta, Descending with Drug-eluting Intraluminal Device, Open Approach
Revise from: 027W0DZ Dilation of Thoracic Aorta with Intraluminal Device, Open Approach
Revise to:   027W0DZ Dilation of Thoracic Aorta, Descending with Intraluminal Device, Open Approach
Revise from: 027W0ZZ Dilation of Thoracic Aorta, Open Approach
Revise to:   027W0ZZ Dilation of Thoracic Aorta, Descending, Open Approach
Revise from: 027W34Z Dilation of Thoracic Aorta with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise to:   027W34Z Dilation of Thoracic Aorta, Descending with Drug-eluting Intraluminal Device, Percutaneous Approach
Revise from: 027W3DZ Dilation of Thoracic Aorta with Intraluminal Device, Percutaneous Approach
Revise to:   027W3DZ Dilation of Thoracic Aorta, Descending with Intraluminal Device, Percutaneous Approach
Revise from: 027W3ZZ Dilation of Thoracic Aorta, Percutaneous Approach
Revise to:   027W3ZZ Dilation of Thoracic Aorta, Descending, Percutaneous Approach
Revise from: 027W44Z Dilation of Thoracic Aorta with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   027W44Z Dilation of Thoracic Aorta, Descending with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 027W4DZ Dilation of Thoracic Aorta with Intraluminal Device, Percutaneous Endoscopic Approach
Revise to:   027W4DZ Dilation of Thoracic Aorta, Descending with Intraluminal Device, Percutaneous Endoscopic Approach
Revise from: 027W4ZZ Dilation of Thoracic Aorta, Percutaneous Endoscopic Approach
Revise to:   027W4ZZ Dilation of Thoracic Aorta, Descending, Percutaneous Endoscopic Approach
Add:         027X04Z Dilation of Thoracic Aorta, Ascending/Arch with Drug-eluting Intraluminal Device, Open Approach
Add:         027X0DZ Dilation of Thoracic Aorta, Ascending/Arch with Intraluminal Device, Open Approach
Add:         027X0ZZ Dilation of Thoracic Aorta, Ascending/Arch, Open Approach
Add:         027X34Z Dilation of Thoracic Aorta, Ascending/Arch with Drug-eluting Intraluminal Device, Percutaneous Approach
Add:         027X3DZ Dilation of Thoracic Aorta, Ascending/Arch with Intraluminal Device, Percutaneous Approach
Add:         027X3ZZ Dilation of Thoracic Aorta, Ascending/Arch, Percutaneous Approach
Add:         027X44Z Dilation of Thoracic Aorta, Ascending/Arch with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
Add:         027X4DZ Dilation of Thoracic Aorta, Ascending/Arch with Intraluminal Device, Percutaneous Endoscopic Approach
Add:         027X4ZZ Dilation of Thoracic Aorta, Ascending/Arch, Percutaneous Endoscopic Approach
Revise from: 02BW0ZX Excision of Thoracic Aorta, Open Approach, Diagnostic
Revise to:   02BW0ZX Excision of Thoracic Aorta, Descending, Open Approach, Diagnostic
Revise from: 02BW0ZZ Excision of Thoracic Aorta, Open Approach
Revise to:   02BW0ZZ Excision of Thoracic Aorta, Descending, Open Approach
Revise from: 02BW3ZX Excision of Thoracic Aorta, Percutaneous Approach, Diagnostic
Revise to:   02BW3ZX Excision of Thoracic Aorta, Descending, Percutaneous Approach, Diagnostic
Revise from: 02BW3ZZ Excision of Thoracic Aorta, Percutaneous Approach
Revise to:   02BW3ZZ Excision of Thoracic Aorta, Descending, Percutaneous Approach
Revise from: 02BW4ZX Excision of Thoracic Aorta, Percutaneous Endoscopic Approach, Diagnostic
Revise to:   02BW4ZX Excision of Thoracic Aorta, Descending, Percutaneous Endoscopic Approach, Diagnostic
Revise from: 02BW4ZZ Excision of Thoracic Aorta, Percutaneous Endoscopic Approach
Revise to:   02BW4ZZ Excision of Thoracic Aorta, Descending, Percutaneous Endoscopic Approach
Add:         02BX0ZX Excision of Thoracic Aorta, Ascending/Arch, Open Approach, Diagnostic
Add:         02BX0ZZ Excision of Thoracic Aorta, Ascending/Arch, Open Approach
Add:         02BX3ZX Excision of Thoracic Aorta, Ascending/Arch, Percutaneous Approach, Diagnostic
Add:         02BX3ZZ Excision of Thoracic Aorta, Ascending/Arch, Percutaneous Approach
Add:         02BX4ZX Excision of Thoracic Aorta, Ascending/Arch, Percutaneous Endoscopic Approach, Diagnostic
Add:         02BX4ZZ Excision of Thoracic Aorta, Ascending/Arch, Percutaneous Endoscopic Approach
Add:         02C00Z6 Extirpation of Matter from Coronary Artery, One Artery, Bifurcation, Open Approach
Revise from: 02C00ZZ Extirpation of Matter from Coronary Artery, One Site, Open Approach
Revise to:   02C00ZZ Extirpation of Matter from Coronary Artery, One Artery, Open Approach
Add:         02C03Z6 Extirpation of Matter from Coronary Artery, One Artery, Bifurcation, Percutaneous Approach
Revise from: 02C03ZZ Extirpation of Matter from Coronary Artery, One Site, Percutaneous Approach
Revise to:   02C03ZZ Extirpation of Matter from Coronary Artery, One Artery, Percutaneous Approach
Add:         02C04Z6 Extirpation of Matter from Coronary Artery, One Artery, Bifurcation, Percutaneous Endoscopic Approach
Revise from: 02C04ZZ Extirpation of Matter from Coronary Artery, One Site, Percutaneous Endoscopic Approach
Revise to:   02C04ZZ Extirpation of Matter from Coronary Artery, One Artery, Percutaneous Endoscopic Approach
Add:         02C10Z6 Extirpation of Matter from Coronary Artery, Two Arteries, Bifurcation, Open Approach
Revise from: 02C10ZZ Extirpation of Matter from Coronary Artery, Two Sites, Open Approach
